date,roi,value,index
2024-08-01,roi1,0.000502363035795396,AVI
2017-01-01,roi2,0.0007942948244890291,AVI
2017-02-01,roi2,0.0009178810977879685,AVI
2017-03-01,roi2,0.0008282305784685532,AVI
2017-04-01,roi2,0.0009871985599917428,AVI
2017-05-01,roi2,0.0008316744494411654,AVI
2017-06-01,roi2,0.0007803671170494272,AVI
2017-07-01,roi2,0.0007259325189804714,AVI
2017-08-01,roi2,0.0006143062944309668,AVI
2017-09-01,roi2,0.0005405630027291722,AVI
2017-10-01,roi2,0.0005569360976966621,AVI
2017-11-01,roi2,0.0005427287459432463,AVI
2017-12-01,roi2,0.0005373952189366508,AVI
2018-01-01,roi2,0.0005298486942305962,AVI
2018-02-01,roi2,0.0005319408500026752,AVI
2018-03-01,roi2,0.0004791208700665009,AVI
2018-04-01,roi2,0.0004210732909935474,AVI
2018-05-01,roi2,0.0004116691047741901,AVI
2018-06-01,roi2,0.00039517365643966393,AVI
2018-07-01,roi2,0.0004941690662903968,AVI
2018-08-01,roi2,0.0005319014803872986,AVI
2018-09-01,roi2,0.000637501129873056,AVI
2018-10-01,roi2,0.000825154247382175,AVI
2018-11-01,roi2,0.0008665502012556876,AVI
2018-12-01,roi2,0.001013488327334403,AVI
2019-01-01,roi2,0.0009143109276611928,AVI
2019-02-01,roi2,0.0008400568312050778,AVI
2019-03-01,roi2,0.0007712658885248963,AVI
2019-04-01,roi2,0.0006699844447561403,AVI
2019-05-01,roi2,0.0005868353864969367,AVI
2019-06-01,roi2,0.0006585032071179271,AVI
2019-07-01,roi2,0.000593501845051811,AVI
2019-08-01,roi2,0.0006947487533704988,AVI
2019-09-01,roi2,0.0007072179433763628,AVI
2019-10-01,roi2,0.0008021508483069923,AVI
2019-11-01,roi2,0.0006962257090222533,AVI
2019-12-01,roi2,0.00047799406178015497,AVI
2020-01-01,roi2,0.0003862928755846922,AVI
2020-02-01,roi2,0.00037688701587468244,AVI
2020-03-01,roi2,0.00010988493990418105,AVI
2020-04-01,roi2,0.0004342126733934937,AVI
2020-05-01,roi2,0.0005349409586530417,AVI
2020-06-01,roi2,0.000503934764943669,AVI
2020-07-01,roi2,0.0006486919055197175,AVI
2020-08-01,roi2,0.0006608747468242136,AVI
2020-09-01,roi2,0.0007561605807701333,AVI
2020-10-01,roi2,0.000777665181101104,AVI
2020-11-01,roi2,0.0007192909036454299,AVI
2020-12-01,roi2,0.00073261989397306,AVI
2021-01-01,roi2,0.0008597949763195788,AVI
2021-02-01,roi2,0.0009004778620321983,AVI
2021-03-01,roi2,0.0009150743908115704,AVI
2021-04-01,roi2,0.000915059072441004,AVI
2021-05-01,roi2,0.000843243522660283,AVI
2021-06-01,roi2,0.0008050238024621492,AVI
2021-07-01,roi2,0.0006116700772059487,AVI
2021-08-01,roi2,0.0006736996127302195,AVI
2021-09-01,roi2,0.00040091155842545556,AVI
2021-10-01,roi2,0.00029838779544120124,AVI
2021-11-01,roi2,0.0005269063350694904,AVI
2021-12-01,roi2,0.0006220646887261353,AVI
2022-01-01,roi2,0.0007368488223477689,AVI
2022-02-01,roi2,0.000750744684585273,AVI
2022-03-01,roi2,0.0008825033719929375,AVI
2022-04-01,roi2,0.0007216707288755765,AVI
2022-05-01,roi2,0.0006342177707650788,AVI
2022-06-01,roi2,0.0006117287172734319,AVI
2022-07-01,roi2,0.0005733588175831323,AVI
2022-08-01,roi2,0.0006095425508039608,AVI
2022-09-01,roi2,0.0005790816248749952,AVI
2022-10-01,roi2,0.00044536931989334563,AVI
2022-11-01,roi2,0.00048611205551824454,AVI
2022-12-01,roi2,0.00046551979640826167,AVI
2023-01-01,roi2,0.0005085943301013898,AVI
2023-02-01,roi2,0.0005246460061036362,AVI
2023-03-01,roi2,0.0005269903634754649,AVI
2023-04-01,roi2,0.0006359872736618713,AVI
2023-05-01,roi2,0.0007757684603549711,AVI
2023-06-01,roi2,0.0010422032148578913,AVI
2023-07-01,roi2,0.0010653339185478859,AVI
2023-08-01,roi2,0.0009663139919581291,AVI
2023-09-01,roi2,0.001014664843633669,AVI
2023-10-01,roi2,0.0010731583902385492,AVI
2023-11-01,roi2,0.001035127339954917,AVI
2023-12-01,roi2,0.0009960410547151864,AVI
2024-01-01,roi2,0.0009619447354130844,AVI
2024-02-01,roi2,0.0008922757000037825,AVI
2024-03-01,roi2,0.0008038577655303114,AVI
2024-04-01,roi2,0.000710228552888957,AVI
2024-05-01,roi2,0.0008640331488984452,AVI
2024-06-01,roi2,0.0008992213612192873,AVI
2024-07-01,roi2,0.0008606060563898774,AVI
2024-08-01,roi2,0.0008694244203729678,AVI
2017-01-01,roi1,0.013620130032616166,EVI
2017-02-01,roi1,0.01655521314456216,EVI
2017-03-01,roi1,0.015180052714282043,EVI
2017-04-01,roi1,0.015235452931001476,EVI
2017-05-01,roi1,0.014245671729631915,EVI
2017-06-01,roi1,0.014423635371082925,EVI
2017-07-01,roi1,0.014712660114756703,EVI
2017-08-01,roi1,0.01406917853756955,EVI
2017-09-01,roi1,0.013065039234610028,EVI
2017-10-01,roi1,0.012873197686197983,EVI
2017-11-01,roi1,0.011917093567098283,EVI
2017-12-01,roi1,0.012024601956169853,EVI
2018-01-01,roi1,0.011704321100464824,EVI
2018-02-01,roi1,0.011014291010873879,EVI
2018-03-01,roi1,0.011242649283384415,EVI
2018-04-01,roi1,0.010464911642913638,EVI
2018-05-01,roi1,0.009891498232370465,EVI
2018-06-01,roi1,0.009683586355639111,EVI
2018-07-01,roi1,0.010649657147731082,EVI
2018-08-01,roi1,0.011175481934227566,EVI
2018-09-01,roi1,0.011680132097362274,EVI
2018-10-01,roi1,0.014531295812501876,EVI
2018-11-01,roi1,0.016100807410236978,EVI
2018-12-01,roi1,0.015632817286098822,EVI
2019-01-01,roi1,0.014891875292895294,EVI
2019-02-01,roi1,0.014464600227130838,EVI
2019-03-01,roi1,0.013769693539027553,EVI
2019-04-01,roi1,0.01332883102419059,EVI
2019-05-01,roi1,0.014127297537354653,EVI
2019-06-01,roi1,0.014507457133836903,EVI
2019-07-01,roi1,0.014245894764294442,EVI
2019-08-01,roi1,0.01479375550999579,EVI
2019-09-01,roi1,0.01297625453305589,EVI
2019-10-01,roi1,0.013852330215436453,EVI
2019-11-01,roi1,0.01365674409234006,EVI
2019-12-01,roi1,0.011633378638272015,EVI
2020-01-01,roi1,0.009763325501367104,EVI
2020-02-01,roi1,0.009724802825669551,EVI
2020-03-01,roi1,-0.0001975946674698257,EVI
2020-04-01,roi1,0.010488704229592848,EVI
2020-05-01,roi1,0.011786593733582183,EVI
2020-06-01,roi1,0.01212743783584628,EVI
2020-07-01,roi1,0.01274194301856652,EVI
2020-08-01,roi1,0.013239450790966915,EVI
2020-09-01,roi1,0.014396873436065084,EVI
2020-10-01,roi1,0.015056861701989247,EVI
2020-11-01,roi1,0.012490436128916968,EVI
2020-12-01,roi1,0.015113331959448527,EVI
2021-01-01,roi1,0.01600609619409575,EVI
2021-02-01,roi1,0.015752912425223965,EVI
2021-03-01,roi1,0.012697349136362907,EVI
2021-04-01,roi1,0.014853861752003364,EVI
2021-05-01,roi1,0.014597346817247545,EVI
2021-06-01,roi1,0.01543506201331994,EVI
2021-07-01,roi1,0.013567160050511529,EVI
2021-08-01,roi1,0.012302544253058045,EVI
2021-09-01,roi1,0.008946667992078937,EVI
2021-10-01,roi1,0.007558327133445416,EVI
2021-11-01,roi1,0.010923023143568737,EVI
2021-12-01,roi1,0.01223083050923513,EVI
2022-01-01,roi1,0.014057263199474854,EVI
2022-02-01,roi1,0.013459226095189323,EVI
2022-03-01,roi1,0.015498057271656903,EVI
2022-04-01,roi1,0.014392985009408577,EVI
2022-05-01,roi1,0.014213553510427713,EVI
2022-06-01,roi1,0.014056806025143961,EVI
2022-07-01,roi1,0.01340540141165067,EVI
2022-08-01,roi1,0.013915858463532134,EVI
2022-09-01,roi1,0.012900331949361339,EVI
2022-10-01,roi1,0.001487743910643836,EVI
2022-11-01,roi1,0.009923691407411709,EVI
2022-12-01,roi1,0.009690474178813524,EVI
2023-01-01,roi1,0.010168972346988249,EVI
2023-02-01,roi1,0.010114628273100217,EVI
2023-03-01,roi1,0.010031457245468594,EVI
2023-04-01,roi1,0.01103164796181499,EVI
2023-05-01,roi1,0.013194248649013106,EVI
2023-06-01,roi1,0.01637455959473546,EVI
2023-07-01,roi1,0.015198843148806014,EVI
2023-08-01,roi1,0.01438002797743076,EVI
2023-09-01,roi1,0.014817142890217414,EVI
2023-10-01,roi1,0.015829430687119887,EVI
2023-11-01,roi1,0.015349764480011581,EVI
2023-12-01,roi1,0.015367310702400643,EVI
2024-01-01,roi1,0.010427776210908658,EVI
2024-02-01,roi1,0.012379842961487968,EVI
2024-03-01,roi1,0.013284068331327798,EVI
2024-04-01,roi1,0.012790636408536928,EVI
2024-05-01,roi1,0.008861529768273353,EVI
2024-06-01,roi1,0.014156802812275741,EVI
2024-07-01,roi1,0.013423032400209624,EVI
2024-08-01,roi1,0.010083455858662362,EVI
2017-01-01,roi2,0.01471780613022942,EVI
2017-02-01,roi2,0.01591084298599655,EVI
2017-03-01,roi2,0.016111230928010065,EVI
2017-04-01,roi2,0.017637877238522358,EVI
2017-05-01,roi2,0.015487220340427493,EVI
2017-06-01,roi2,0.01503452462616128,EVI
2017-07-01,roi2,0.014326456924688445,EVI
2017-08-01,roi2,0.013222136537734516,EVI
2017-09-01,roi2,0.01214757258296361,EVI
2017-10-01,roi2,0.012484570816205688,EVI
2017-11-01,roi2,0.01235092321607292,EVI
2017-12-01,roi2,0.01212971258947386,EVI
2018-01-01,roi2,0.011786516223223853,EVI
2018-02-01,roi2,0.011745974843466891,EVI
2018-03-01,roi2,0.011087548880089334,EVI
2018-04-01,roi2,0.01037356929287709,EVI
2018-05-01,roi2,0.010232955457046488,EVI
2018-06-01,roi2,0.009859410521204289,EVI
2018-07-01,roi2,0.011355050538945692,EVI
2018-08-01,roi2,0.011810522963438255,EVI
2018-09-01,roi2,0.012849724713060605,EVI
2018-10-01,roi2,0.014850851370194854,EVI
2018-11-01,roi2,0.01650960193562993,EVI
2018-12-01,roi2,0.018088317319180532,EVI
2019-01-01,roi2,0.017019793662074175,EVI
2019-02-01,roi2,0.016234784506304507,EVI
2019-03-01,roi2,0.014887301020950958,EVI
2019-04-01,roi2,0.013829824376020053,EVI
2019-05-01,roi2,0.013066195332164587,EVI
2019-06-01,roi2,0.013807283097386077,EVI
2019-07-01,roi2,0.01308294367233028,EVI
2019-08-01,roi2,0.014390234365471453,EVI
